PA14_RS01265	130
PA14_RS01270	3971
PA14_RS01275	1016
PA14_RS01280	111
PA14_RS29980	161
PA14_RS01295	63
PA14_RS01300	7
PA14_RS01305	124
PA14_RS01310	7
PA14_RS01315	147
PA14_RS01320	233
PA14_RS01325	64
PA14_RS01330	326
PA14_RS01335	107
PA14_RS01345	414
PA14_RS01355	172
PA14_RS29985	173
PA14_RS01360	201
PA14_RS01365	93
PA14_RS01370	198
PA14_RS01375	285
PA14_RS01380	115
PA14_RS31330	18
PA14_RS01385	84
PA14_RS01390	117
PA14_RS01395	309
PA14_RS01400	47
PA14_RS01405	10
PA14_RS31735	129
PA14_RS01415	332
PA14_RS01425	394
PA14_RS01430	1147
PA14_RS01435	194
PA14_RS01440	18
PA14_RS01445	34
PA14_RS01450	6
PA14_RS01455	4
PA14_RS01460	45
PA14_RS01465	13
PA14_RS01470	44
PA14_RS01475	84
PA14_RS01480	13
PA14_RS01485	195
PA14_RS01490	9
PA14_RS01495	32
PA14_RS01500	39
PA14_RS01505	8
PA14_RS01510	23
PA14_RS01515	45
PA14_RS01520	33
PA14_RS01525	319
PA14_RS01530	2391
PA14_RS01535	93
PA14_RS01540	26
PA14_RS01545	71
PA14_RS01550	43
PA14_RS01555	756
PA14_RS01560	132
PA14_RS01565	47
PA14_RS01570	76
PA14_RS01575	124
PA14_RS01580	778
PA14_RS01585	195
PA14_RS01590	296
PA14_RS01595	384
PA14_RS01600	575
PA14_RS01605	248
PA14_RS01610	179
PA14_RS01615	123
PA14_RS01620	279
PA14_RS01625	109
PA14_RS01630	30
PA14_RS01635	913
PA14_RS01640	99
PA14_RS01645	106
PA14_RS01650	181
PA14_RS01655	375
PA14_RS01660	13
PA14_RS01665	180
PA14_RS01670	112
PA14_RS01675	108
PA14_RS01680	243
PA14_RS01685	678
PA14_RS01690	764
PA14_RS01695	167
PA14_RS01700	409
PA14_RS01705	95
PA14_RS01710	6
PA14_RS01715	19
PA14_RS01720	12
PA14_RS01725	13
PA14_RS01730	2
PA14_RS01735	21
PA14_RS01740	45
PA14_RS01745	125
PA14_RS01750	618
PA14_RS01755	288
PA14_RS01760	336
PA14_RS01765	125
PA14_RS01770	133
PA14_RS01775	32
PA14_RS01780	174
PA14_RS01785	184
PA14_RS01790	416
PA14_RS01795	800
PA14_RS01800	463
PA14_RS01805	49
PA14_RS01810	164
PA14_RS01815	185
PA14_RS01820	512
PA14_RS01825	66
PA14_RS01830	33
PA14_RS01835	71
PA14_RS01840	12
PA14_RS01845	6
PA14_RS01850	72
PA14_RS01855	2
PA14_RS01860	38
PA14_RS01865	73
PA14_RS01870	243
PA14_RS01875	594
PA14_RS01880	164
PA14_RS01885	23
PA14_RS01890	131
PA14_RS01895	452
PA14_RS01900	118
PA14_RS01905	299
PA14_RS01910	236
PA14_RS01915	545
PA14_RS01920	215
PA14_RS01925	149
PA14_RS01930	424
PA14_RS01935	361
PA14_RS01940	204
PA14_RS01945	955
PA14_RS01950	534
PA14_RS01955	43
PA14_RS01960	100
PA14_RS01965	40
PA14_RS01970	63
PA14_RS01975	148
PA14_RS01980	243
PA14_RS01985	357
PA14_RS01990	139
PA14_RS01995	275
PA14_RS02000	1728
PA14_RS02005	194
PA14_RS02010	96
PA14_RS02015	152
PA14_RS02020	67
PA14_RS02025	263
PA14_RS02030	223
PA14_RS02035	250
PA14_RS02040	48
PA14_RS02045	52
PA14_RS02050	150
PA14_RS02055	189
PA14_RS02060	46
PA14_RS02065	68
PA14_RS02070	248
PA14_RS02075	188
PA14_RS02080	60
PA14_RS02085	115
PA14_RS02090	181
PA14_RS02095	316
PA14_RS02100	363
PA14_RS02105	192
PA14_RS02110	35
PA14_RS02115	209
PA14_RS02120	297
PA14_RS02125	260
PA14_RS02130	355
PA14_RS02135	284
PA14_RS02140	142
PA14_RS02145	88
PA14_RS02150	135
PA14_RS02155	130
PA14_RS02160	240
PA14_RS02165	422
PA14_RS02170	158
PA14_RS02175	234
PA14_RS02180	748
PA14_RS02185	205
PA14_RS02190	1036
PA14_RS02195	52
PA14_RS02200	59
PA14_RS02205	30
PA14_RS02210	27
PA14_RS02215	129
PA14_RS02220	111
PA14_RS02225	196
PA14_RS02230	624
PA14_RS02235	141
PA14_RS02240	670
PA14_RS02245	77
PA14_RS02250	352
PA14_RS02255	883
PA14_RS02260	459
PA14_RS02265	1785
PA14_RS02270	966
PA14_RS02275	252
PA14_RS02280	116
PA14_RS02285	812
PA14_RS02290	54
PA14_RS02295	20
PA14_RS02300	31
PA14_RS02305	137
PA14_RS02310	43
PA14_RS02315	97
PA14_RS02320	4
PA14_RS02325	2
PA14_RS02330	52
PA14_RS02340	24
PA14_RS02345	21
PA14_RS02350	53
PA14_RS02355	143
PA14_RS02360	92
PA14_RS02365	96
PA14_RS02370	17
PA14_RS02375	46
PA14_RS02380	0
PA14_RS02385	22
PA14_RS02390	278
PA14_RS02395	191
PA14_RS02400	4764
PA14_RS02405	550
PA14_RS02410	66
PA14_RS02415	219
PA14_RS02420	160
PA14_RS02425	217
PA14_RS02430	174
PA14_RS02435	144
PA14_RS02440	113
PA14_RS02445	32
PA14_RS02450	0
PA14_RS02455	5
PA14_RS02460	25
PA14_RS02465	65
PA14_RS02470	121
PA14_RS02475	23
PA14_RS02480	7
PA14_RS02485	8
PA14_RS02490	43
PA14_RS02495	0
PA14_RS02500	37
PA14_RS02505	5
PA14_RS02510	18
PA14_RS02515	26
PA14_RS02520	33
PA14_RS02525	9
PA14_RS02530	40
PA14_RS02535	351
PA14_RS02540	17
PA14_RS02545	15
PA14_RS02550	291
PA14_RS02555	123
PA14_RS02560	45
PA14_RS02565	38
PA14_RS02570	20
PA14_RS02575	26
PA14_RS02580	33
PA14_RS02585	334
PA14_RS02590	36
PA14_RS02595	129
PA14_RS02600	74
PA14_RS02605	156
PA14_RS31630	0
PA14_RS02615	305
PA14_RS02620	114
PA14_RS02625	38
PA14_RS02630	38
PA14_RS02635	44
PA14_RS02640	288
PA14_RS02645	544
PA14_RS02650	39
PA14_RS02655	72
PA14_RS02660	585
PA14_RS02665	155
PA14_RS02670	343
PA14_RS02675	58
PA14_RS02680	47
PA14_RS02685	109
PA14_RS02690	119
